NAME,ADDRESS,MAIL
Vriteup,"G3B, Tejaswini, Technopark Trivandrum, Kerala",vriteup@vriteup.com
VYUS TECHNOLOGIA LLP,"Thejaswini,Ground Floor,G3B,Trivandrum,Kerala,India",contactvyus@gmail.com
WAFERCHIPS TECHNO SOLUTIONS PVT LTD,"SBC 4, IInd FLOOR, SEZ BUILDING,ASHTAMUDI TOWER,TECHNOPARK",waferchips@gmail.com
Waybeo Technology Solutions Pvt Ltd,"Module 15, Fourth Floor, Gayatri Building, Technopark, Trivandrum 6955581 Kerala",mail@waybeo.com
Way Dot Com Private Limited,"4th Floor, Nila Building, Technopark, Trivandrum, Kerala, India",hrd@way.com
Weboffice Infotech India Pvt Ltd,"Module No: 29, SBC, -2 Floor, Thejaswini, Technopark",info@webofficeit.com
XIGOLOGIX Pvt. Ltd.,"SBC 9, 3rd Floor, Ashtamudi Building, Kollam",info@xigologix.com
Xilligence,"231, Nila, Technopark, Trivandrum.",info@xilligence.com
Xminds Infotech Pvt Ltd,"Smart Business Centre, Thejaswini, Technopark, Trivandrum",www.xminds.com
Xpetize Technology Solutions Private Limited,"A-10, TBIC, 4th Floor, Nila, Technopark, Kerala, Trivandrum",rajesh@xpetize.com
Xtreme Online Solutions Private Limited,"1st Floor, Amstor Annex Building, Technopark Phase I",hr@xtremeonline.in
Y2Z Labs Pvt Ltd,"4th FLOOR, M SQUARED BUILDING, ANNEX 2, TECHNOPARK CAMPUS, KARIYAVATTOM, TRIVANDRUM, KERALA",admin@y2zlabs.com
Yarab Technologies Private Limited,"Module No: 2706, 7th Floor, Yamuna building, Phase-III Campus, Technopark, Kazhakootam",info@yarabltd.co.uk
YourVision Software Solutions LLP,"7-A, 4th Floor, Gayatri, Technopark, Thiruvananthapuram",info@yourvision.co.in
YSC Engineering Services Pvt Ltd,"Module No: 406(A), Fourth Floor Thejaswini Building, Technopark",hr@yscindia.com
ZAFIN SOFTWARE CENTRE OF EXCELLENCE PVT LTD,"G4, THEJASWINI, TECHNOPARK, TRIVANDRUM",info@zafin.com
Zebu Animation Studios Pvt Ltd,"T-7, 7th Floor, Kerala Startup Mission, Thejaswini, Technopark Campus, Kazhakkoottam, Kerala",contact@zebuanimation.com
ZestyBeanz Technologies Pvt Ltd,"4th Floor, Nila, Technopark, Trivandrum",contact@zbeanztech.com
ZEWIA SOFTWARE SOLUTIONS PVT LTD,"1st Floor M Squared Building, Technopark Campus, Thiruvananthapuram, Kerala",info@zewiasoft.com
ZL Software Systems Pvt. Ltd.,"C-22, - 2 Floor, Thejaswini Building, Phase-1 Campus, Technopark, Trivandrum, Kerala, India",info@zlinkcorp.com
Zoondia Software Private Limited.,"T2 , Thejaswini Builing , Technopark , Trivandrum",info@zoondia.in
Zyxware Technologies Private Limited,"SBC 2205, II Floor, Yamuna Building, Technopark Phase III, Trivandrum",info@zyxware.com
